,averageDelayInMinutes
661,3.953125
662,3.5161290322580645
663,1.7258064516129032
664,3.0483870967741935
665,1.2419354838709677
666,3.7096774193548385
667,6.741935483870968
668,2.4516129032258065
669,0.08064516129032258
670,5.209677419354839
671,0.08064516129032258
672,0.41935483870967744
673,0.8548387096774194
674,2.1451612903225805
675,1.6451612903225807
676,1.625
677,22.483870967741936
678,11.064516129032258
679,1.9838709677419355
680,3.9516129032258065
681,28.016129032258064
682,1.935483870967742
683,2.774193548387097
684,2.5
685,0.9032258064516129
686,3.8870967741935485
687,0.8560606060606061
688,0.7651515151515151
689,8.015151515151516
690,1.7878787878787878
691,1.856060606060606
692,7.848484848484849
693,10.946969696969697
694,10.43939393939394
695,7.742424242424242
696,0.6136363636363636
697,2.6666666666666665
698,11.234848484848484
699,12.93939393939394
700,5.232323232323233
701,35.64141414141414
702,11.308080808080808
703,8.825892857142858
704,9.171717171717171
705,19.21212121212121
706,4.348214285714286
707,135.84343434343435
708,101.24747474747475
709,29.347826086956523
710,18.76
711,2.818840579710145
712,6.246376811594203
713,4.028985507246377
714,0.6014492753623188
715,2.652173913043478
716,5.731884057971015
717,44.2536231884058
718,6.0
719,4.045454545454546
720,8.472727272727273
721,47.9
722,4.802816901408451
723,14.89375
724,10.9875
725,2.64375
726,13.2
727,5.052631578947368
728,18.5
729,10.181818181818182
730,-0.125
731,2.1607142857142856
732,3.5
733,11.803571428571429
734,38.75
735,9.272727272727273
736,13.244897959183673
737,17.76530612244898
738,32.32539682539682
739,1.5873015873015872
740,1.507936507936508
741,3.9285714285714284
742,9.026785714285714
743,2.9444444444444446
744,5.142857142857143
745,6.3522727272727275
746,12.198275862068966
747,0.4431818181818182
748,18.0
749,2.340909090909091
750,15.306818181818182
751,0.6022727272727273
752,9.681818181818182
753,15.738636363636363
754,24.204545454545453
755,3.6931818181818183
756,4.681818181818182
757,0.13636363636363635
758,131.22881355932202
759,53.53508771929825
760,28.271929824561404
761,14.115384615384615
762,10.038461538461538
763,4.923076923076923
764,-0.1
765,8.571428571428571
766,-0.2857142857142857
767,-0.35714285714285715
768,0.35714285714285715
769,0.5
770,1.0714285714285714
771,2.5714285714285716
772,1.9642857142857142
773,15.0
774,44.357142857142854
775,0.8571428571428571
776,5.921052631578948
777,5.2105263157894735
778,48.72
779,1.3
780,1.9285714285714286
781,1.8846153846153846
782,4.961538461538462
783,3.6153846153846154
784,3.3846153846153846
785,7.269230769230769
786,7.8076923076923075
787,6.153846153846154
788,5.6923076923076925
789,7.857142857142857
790,3.8846153846153846
791,3.857142857142857
792,4.769230769230769
793,1.2307692307692308
794,1.0
795,2.693548387096774
796,0.5483870967741935
797,0.7096774193548387
798,13.14516129032258
799,-0.11290322580645161
800,6.193548387096774
801,-0.11290322580645161
802,1.5806451612903225
803,2.129032258064516
804,2.0483870967741935
805,1.096774193548387
806,2.225806451612903
807,6.296875
808,2.532258064516129
809,1.935483870967742
810,0.7741935483870968
811,2.370967741935484
812,21.977272727272727
813,10.045454545454545
814,8.530303030303031
815,12.606060606060606
816,17.674242424242426
817,0.2196969696969697
818,35.65909090909091
819,4.989795918367347
820,0.07575757575757576
821,8.856060606060606
822,42.64393939393939
823,27.7979797979798
824,7.383838383838384
825,1.4375
826,21.46969696969697
827,5.0606060606060606
828,77.56565656565657
829,11.772727272727273
830,25.924107142857142
831,1.6414141414141414
832,0.7525252525252525
833,27.22
834,2.536231884057971
835,18.420289855072465
836,1.0072463768115942
837,3.3115942028985508
838,0.9927536231884058
839,2.0942028985507246
840,0.5652173913043478
841,0.7272727272727273
842,4.963768115942029
843,7.8090909090909095
844,6.363636363636363
845,0.04929577464788732
846,7.80625
847,0.95625
848,4.711267605633803
849,6.318181818181818
850,4.8875
851,0.5727272727272728
852,9.973214285714286
853,4.030612244897959
854,36.91269841269841
855,7.857142857142857
856,15.785714285714286
